address_line_1,address_line_2,city,fax,friday_close,friday_open,has_beer_cold_room,has_bilingual_services,has_parking,has_product_consultant,has_special_occasion_permits,has_tasting_bar,has_transit_access,has_vintages_corner,has_wheelchair_accessability,id,inventory_count,inventory_price,inventory_volume_in_milliliters,is_dead,lat,long,monday_close,monday_open,name,postal_code,products_count,saturday_close,saturday_open,store_no,sunday_close,sunday_open,tags,telephone,thursday_close,thursday_open,tuesday_close,tuesday_open,wednesday_close,wednesday_open
2625D Weston Road,,North York,(416) 243-0148,1380.0,540.0,False,True,True,True,True,False,True,True,True,1,89828,184991096,72717896,False,43.7127,-79.531,1380.0,540.0,Hwy 401 & Weston,M9N3W2,4267,1380.0,540.0,1,1080.0,660.0,hwy 401 weston 2625d road toronto north toronto-north torontonorth york m9n3w2,(416) 243-3320,1380.0,540.0,1380.0,540.0,1380.0,540.0
396 St. Clair Ave. West,,Toronto,(416) 653-7113,1320.0,600.0,False,True,True,False,False,False,True,False,True,2,20183,20297515,13039419,False,43.684,-79.4154,1320.0,600.0,St Clair & Bathurst,M5P3N3,608,1320.0,600.0,2,1080.0,660.0,st clair bathurst 396 ave west toronto central toronto-central torontocentral m5p3n3,(416) 653-0220,1320.0,600.0,1320.0,600.0,1320.0,600.0
1230 Dundas Street West,,Toronto,(416) 536-9493,1260.0,600.0,False,True,True,False,False,False,True,True,True,3,63081,86616481,45831159,False,43.6496,-79.4235,1260.0,600.0,Dundas & Dovercourt,M6J1X5,1783,1260.0,570.0,3,1080.0,660.0,dundas dovercourt 1230 street west toronto central toronto-central torontocentral m6j1x5,(416) 536-4634,1260.0,600.0,1260.0,600.0,1260.0,600.0
200 Danforth Avenue,,Toronto,(416) 469-0081,1320.0,570.0,True,True,False,True,False,False,True,True,True,4,50451,98752175,37809833,False,43.6769,-79.3561,1260.0,570.0,Danforth & Broadview,M4K1N5,2934,1320.0,570.0,4,1080.0,660.0,danforth broadview 200 avenue toronto central toronto-central torontocentral m4k1n5,(416) 469-4724,1320.0,570.0,1320.0,570.0,1320.0,570.0
1654 Queen Street East,,Toronto,(416) 686-6896,1320.0,600.0,False,True,True,True,False,False,True,True,True,5,61159,88611427,44793445,False,43.6669,-79.315,1320.0,600.0,Queen & Coxwell,M4L1G3,2794,1320.0,570.0,5,1080.0,660.0,queen coxwell 1654 street east toronto central toronto-central torontocentral m4l1g3,(416) 691-9758,1320.0,600.0,1320.0,600.0,1320.0,600.0
1357 Queen St. W.,,Toronto,(416) 532-5064,1320.0,600.0,True,True,True,False,True,False,True,False,True,6,50944,70243335,38545969,False,43.6421,-79.4324,1260.0,600.0,Queen & Lansdowne,M6K1M1,2224,1320.0,600.0,6,1080.0,660.0,queen lansdowne 1357 st w toronto central toronto-central torontocentral m6k1m1,(416) 532-7283,1320.0,600.0,1260.0,600.0,1260.0,600.0
101 Eglinton Avenue East,Yonge and Eglinton,Toronto,(416) 482-1808,1260.0,600.0,False,True,False,True,False,False,True,True,True,7,33540,53797850,25399823,False,43.7074,-79.3948,1260.0,600.0,Eglinton & Dunfield,M4P1H4,1688,1260.0,600.0,7,1080.0,660.0,eglinton dunfield 101 avenue east yonge and toronto central toronto-central torontocentral m4p1h4,(416) 482-1800,1260.0,600.0,1260.0,600.0,1260.0,600.0
908 St. Clair Avenue West,,Toronto,(416) 654-8040,1260.0,600.0,False,True,False,False,False,False,True,False,True,8,36499,40832223,27686238,False,43.6802,-79.4339,1260.0,600.0,St Clair & Oakwood,M6C1C6,1187,1260.0,600.0,8,1080.0,660.0,st clair oakwood 908 avenue west toronto central toronto-central torontocentral m6c1c6,(416) 654-4240,1260.0,600.0,1260.0,600.0,1260.0,600.0
879 Bloor Street West,,Toronto,(416) 536-8659,1260.0,600.0,False,True,False,False,False,False,True,True,True,9,36771,35558965,23868611,False,43.6619,-79.4251,1260.0,600.0,Bloor & Ossington,M6G1M4,936,1260.0,600.0,9,1080.0,660.0,bloor ossington 879 street west toronto central toronto-central torontocentral m6g1m4,(416) 536-4340,1260.0,600.0,1260.0,600.0,1260.0,600.0
10 Scrivener Square,Summerhill Subway,Toronto,(416) 922-3104,1320.0,570.0,False,True,True,True,True,False,True,True,True,10,147542,404857290,103215136,False,43.6809,-79.3905,1260.0,570.0,Yonge & Summerhill,M4W3Y9,4522,1320.0,540.0,10,1080.0,660.0,yonge summerhill 10 scrivener square subway toronto central toronto-central torontocentral m4w3y9,(416) 922-0403,1320.0,570.0,1320.0,570.0,1320.0,570.0
